,black,boy,read,math,star,freelun,teacher_experience,test_score,sc_freelun,sc_black
178,1,1,500.0,538.0,0,1,4.0,1038.0,0,0
179,0,0,627.0,639.0,1,1,13.0,1266.0,1,0
183,1,0,637.0,639.0,1,0,28.0,1276.0,0,1
184,0,0,596.0,582.0,0,1,8.0,1178.0,0,0
185,0,0,643.0,590.0,0,0,17.0,1233.0,0,0
186,1,0,571.0,540.0,0,1,12.0,1111.0,0,0
187,1,0,557.0,561.0,0,0,28.0,1118.0,0,0
188,0,0,614.0,626.0,0,0,1.0,1240.0,0,0
189,0,0,604.0,584.0,0,0,4.0,1188.0,0,0
191,0,0,631.0,596.0,0,0,22.0,1227.0,0,0
194,0,0,575.0,584.0,0,1,19.0,1159.0,0,0
196,0,1,602.0,572.0,0,0,18.0,1174.0,0,0
199,0,0,622.0,590.0,1,1,11.0,1212.0,1,0
201,0,0,593.0,615.0,0,0,15.0,1208.0,0,0
204,0,1,602.0,611.0,1,0,7.0,1213.0,0,0
206,0,1,560.0,620.0,1,0,17.0,1180.0,0,0
208,1,1,479.0,486.0,0,1,18.0,965.0,0,0
209,0,1,584.0,611.0,0,0,27.0,1195.0,0,0
210,0,0,545.0,563.0,1,1,15.0,1108.0,1,0
211,0,1,555.0,607.0,0,0,8.0,1162.0,0,0
212,0,0,608.0,611.0,1,0,14.0,1219.0,0,0
213,0,1,582.0,535.0,1,0,12.0,1117.0,0,0
214,0,1,557.0,607.0,1,0,14.0,1164.0,0,0
215,1,0,591.0,611.0,0,1,31.0,1202.0,0,0
216,1,0,569.0,552.0,1,0,10.0,1121.0,0,1
217,0,0,643.0,674.0,1,0,28.0,1317.0,0,0
218,0,1,611.0,550.0,1,0,9.0,1161.0,0,0
219,0,1,588.0,615.0,0,0,19.0,1203.0,0,0
220,1,0,575.0,561.0,1,1,4.0,1136.0,1,1
222,1,1,515.0,593.0,0,0,2.0,1108.0,0,0
226,1,1,564.0,540.0,0,0,13.0,1104.0,0,0
227,0,1,566.0,607.0,1,0,9.0,1173.0,0,0
229,0,0,684.0,699.0,1,0,7.0,1383.0,0,0
231,0,0,579.0,582.0,0,0,19.0,1161.0,0,0
232,0,0,608.0,632.0,0,0,13.0,1240.0,0,0
233,1,1,542.0,536.0,0,1,2.0,1078.0,0,0
234,1,0,542.0,563.0,0,1,10.0,1105.0,0,0
236,0,1,506.0,469.0,1,0,4.0,975.0,0,0
237,0,0,614.0,596.0,0,0,8.0,1210.0,0,0
239,1,1,577.0,568.0,1,1,33.0,1145.0,1,1
240,0,0,618.0,568.0,0,1,19.0,1186.0,0,0
241,0,1,505.0,525.0,0,1,15.0,1030.0,0,0
244,1,1,579.0,572.0,1,0,2.0,1151.0,0,1
245,1,1,566.0,584.0,0,0,8.0,1150.0,0,0
246,1,1,568.0,563.0,0,1,14.0,1131.0,0,0
249,0,0,593.0,548.0,1,0,18.0,1141.0,0,0
250,0,0,559.0,559.0,0,0,20.0,1118.0,0,0
253,0,0,566.0,533.0,0,0,23.0,1099.0,0,0
254,0,0,604.0,611.0,0,0,23.0,1215.0,0,0
257,0,0,604.0,574.0,0,1,14.0,1178.0,0,0
258,0,0,568.0,603.0,0,0,20.0,1171.0,0,0
261,1,1,560.0,574.0,1,1,2.0,1134.0,1,1
263,0,1,544.0,561.0,0,0,23.0,1105.0,0,0
269,0,0,659.0,607.0,1,1,6.0,1266.0,1,0
270,0,0,684.0,607.0,1,0,16.0,1291.0,0,0
271,0,0,549.0,548.0,0,0,31.0,1097.0,0,0
274,1,1,530.0,568.0,0,1,7.0,1098.0,0,0
276,0,1,622.0,582.0,0,1,9.0,1204.0,0,0
278,0,0,547.0,525.0,0,0,2.0,1072.0,0,0
280,0,1,566.0,620.0,1,0,20.0,1186.0,0,0
281,0,0,560.0,552.0,1,1,0.0,1112.0,1,0
283,0,0,514.0,507.0,0,1,22.0,1021.0,0,0
284,0,0,631.0,565.0,0,0,16.0,1196.0,0,0
285,1,1,566.0,579.0,0,1,32.0,1145.0,0,0
288,1,1,547.0,543.0,0,1,8.0,1090.0,0,0
290,1,1,515.0,500.0,0,1,5.0,1015.0,0,0
292,0,0,555.0,572.0,0,1,19.0,1127.0,0,0
293,1,0,517.0,568.0,0,1,24.0,1085.0,0,0
295,1,0,554.0,522.0,0,1,16.0,1076.0,0,0
297,0,1,584.0,554.0,0,0,11.0,1138.0,0,0
298,0,1,554.0,572.0,1,0,11.0,1126.0,0,0
299,1,0,582.0,579.0,1,1,5.0,1161.0,1,1
302,0,0,650.0,620.0,0,0,20.0,1270.0,0,0
304,1,1,732.0,674.0,0,0,11.0,1406.0,0,0
305,0,1,541.0,607.0,0,0,30.0,1148.0,0,0
306,0,0,582.0,584.0,0,0,12.0,1166.0,0,0
308,0,0,593.0,596.0,0,0,1.0,1189.0,0,0
309,0,0,650.0,639.0,0,1,13.0,1289.0,0,0
310,1,0,586.0,579.0,0,1,7.0,1165.0,0,0
311,1,1,582.0,574.0,0,0,28.0,1156.0,0,0
313,1,1,591.0,561.0,0,1,8.0,1152.0,0,0
316,1,1,508.0,518.0,1,1,8.0,1026.0,1,1
318,0,1,550.0,517.0,1,0,23.0,1067.0,0,0
321,1,0,550.0,611.0,0,1,12.0,1161.0,0,0
323,0,1,684.0,659.0,0,0,11.0,1343.0,0,0
324,0,1,577.0,526.0,0,0,23.0,1103.0,0,0
325,0,0,622.0,611.0,0,0,26.0,1233.0,0,0
327,0,1,560.0,584.0,0,1,9.0,1144.0,0,0
329,1,0,591.0,611.0,0,0,4.0,1202.0,0,0
330,0,0,618.0,536.0,0,1,14.0,1154.0,0,0
332,0,1,554.0,572.0,0,1,12.0,1126.0,0,0
333,0,1,535.0,531.0,0,1,13.0,1066.0,0,0
335,0,1,586.0,659.0,0,0,22.0,1245.0,0,0
340,0,1,560.0,572.0,1,1,12.0,1132.0,1,0
342,0,1,631.0,596.0,0,0,16.0,1227.0,0,0
343,1,0,622.0,615.0,0,1,11.0,1237.0,0,0
347,0,0,550.0,565.0,0,1,6.0,1115.0,0,0
348,0,1,579.0,626.0,0,1,6.0,1205.0,0,0
350,1,1,562.0,543.0,0,0,4.0,1105.0,0,0
355,1,0,575.0,528.0,0,1,12.0,1103.0,0,0
357,0,1,614.0,648.0,1,0,20.0,1262.0,0,0
358,1,1,547.0,525.0,0,1,30.0,1072.0,0,0
359,1,1,535.0,512.0,1,1,4.0,1047.0,1,1
367,1,0,529.0,525.0,0,1,4.0,1054.0,0,0
368,0,0,618.0,611.0,1,0,29.0,1229.0,0,0
369,1,1,529.0,546.0,0,1,32.0,1075.0,0,0
370,1,0,584.0,541.0,0,0,18.0,1125.0,0,0
373,0,1,584.0,557.0,1,0,33.0,1141.0,0,0
374,0,0,614.0,626.0,0,0,5.0,1240.0,0,0
375,1,1,559.0,568.0,0,1,4.0,1127.0,0,0
376,0,1,669.0,674.0,0,0,12.0,1343.0,0,0
387,1,0,554.0,559.0,0,1,4.0,1113.0,0,0
390,0,0,596.0,568.0,0,1,19.0,1164.0,0,0
391,0,1,577.0,579.0,1,0,9.0,1156.0,0,0
393,1,0,549.0,554.0,1,1,15.0,1103.0,1,1
395,0,0,643.0,639.0,1,0,9.0,1282.0,0,0
396,1,0,538.0,577.0,1,1,2.0,1115.0,1,1
399,1,0,535.0,572.0,1,1,5.0,1107.0,1,1
400,0,1,564.0,530.0,0,0,19.0,1094.0,0,0
404,0,1,669.0,659.0,0,0,20.0,1328.0,0,0
406,0,0,550.0,523.0,0,0,11.0,1073.0,0,0
407,0,0,593.0,565.0,0,1,9.0,1158.0,0,0
409,0,1,512.0,525.0,0,0,9.0,1037.0,0,0
412,0,0,557.0,572.0,0,1,9.0,1129.0,0,0
415,1,0,602.0,572.0,0,0,28.0,1174.0,0,0
418,0,0,614.0,556.0,0,1,13.0,1170.0,0,0
420,1,1,559.0,543.0,1,0,5.0,1102.0,0,1
421,1,1,582.0,574.0,0,0,19.0,1156.0,0,0
422,1,0,562.0,559.0,0,1,12.0,1121.0,0,0
424,0,1,579.0,563.0,1,0,9.0,1142.0,0,0
425,1,1,627.0,570.0,0,0,19.0,1197.0,0,0
426,0,1,582.0,615.0,1,1,13.0,1197.0,1,0
427,0,0,591.0,561.0,0,0,11.0,1152.0,0,0
429,1,1,554.0,565.0,0,1,11.0,1119.0,0,0
431,0,1,562.0,603.0,0,1,2.0,1165.0,0,0
432,0,1,611.0,603.0,0,0,27.0,1214.0,0,0
435,1,0,562.0,556.0,1,0,18.0,1118.0,0,1
438,1,0,599.0,603.0,1,0,29.0,1202.0,0,1
440,1,0,560.0,541.0,0,1,30.0,1101.0,0,0
441,1,0,503.0,528.0,0,1,7.0,1031.0,0,0
442,1,1,545.0,563.0,0,1,10.0,1108.0,0,0
443,0,0,568.0,545.0,1,0,14.0,1113.0,0,0
445,0,0,573.0,483.0,0,0,22.0,1056.0,0,0
447,1,0,560.0,557.0,0,0,9.0,1117.0,0,0
448,1,1,564.0,590.0,0,1,10.0,1154.0,0,0
449,1,1,586.0,593.0,0,1,13.0,1179.0,0,0
450,0,1,577.0,540.0,0,0,2.0,1117.0,0,0
452,0,1,573.0,599.0,0,0,31.0,1172.0,0,0
454,0,1,627.0,611.0,0,0,8.0,1238.0,0,0
455,1,1,520.0,565.0,1,1,14.0,1085.0,1,1
457,1,1,524.0,520.0,0,1,21.0,1044.0,0,0
465,0,0,569.0,570.0,0,0,23.0,1139.0,0,0
466,0,1,627.0,620.0,0,0,12.0,1247.0,0,0
467,1,1,557.0,526.0,0,1,9.0,1083.0,0,0
469,0,0,602.0,531.0,1,0,12.0,1133.0,0,0
470,0,0,532.0,561.0,1,0,2.0,1093.0,0,0
471,0,0,608.0,590.0,0,1,9.0,1198.0,0,0
473,0,1,602.0,593.0,0,0,15.0,1195.0,0,0
474,0,0,579.0,590.0,0,0,26.0,1169.0,0,0
475,1,1,586.0,582.0,0,1,2.0,1168.0,0,0
476,0,1,555.0,525.0,0,0,12.0,1080.0,0,0
477,0,0,582.0,584.0,0,1,15.0,1166.0,0,0
478,0,0,582.0,572.0,0,0,13.0,1154.0,0,0
480,0,0,562.0,528.0,0,1,11.0,1090.0,0,0
481,0,0,564.0,599.0,1,0,33.0,1163.0,0,0
485,0,0,602.0,577.0,1,0,15.0,1179.0,0,0
487,1,1,559.0,548.0,1,1,2.0,1107.0,1,1
488,1,1,544.0,533.0,0,1,2.0,1077.0,0,0
490,1,1,509.0,502.0,0,1,30.0,1011.0,0,0
492,0,1,637.0,615.0,0,1,8.0,1252.0,0,0
493,1,0,552.0,587.0,0,1,9.0,1139.0,0,0
494,1,0,552.0,584.0,0,0,0.0,1136.0,0,0
495,0,0,732.0,674.0,0,1,1.0,1406.0,0,0
497,0,1,586.0,568.0,1,1,7.0,1154.0,1,0
498,1,1,637.0,639.0,1,0,16.0,1276.0,0,1
500,0,1,586.0,561.0,0,1,1.0,1147.0,0,0
501,0,1,631.0,579.0,1,1,0.0,1210.0,1,0
503,1,0,622.0,639.0,0,0,9.0,1261.0,0,0
505,0,1,650.0,648.0,0,1,1.0,1298.0,0,0
506,1,1,684.0,674.0,1,1,11.0,1358.0,1,1
508,0,1,530.0,554.0,0,0,18.0,1084.0,0,0
511,0,1,584.0,582.0,0,0,9.0,1166.0,0,0
515,0,1,552.0,568.0,1,0,22.0,1120.0,0,0
516,0,0,545.0,563.0,1,1,25.0,1108.0,1,0
517,0,1,554.0,674.0,0,1,6.0,1228.0,0,0
519,0,0,618.0,593.0,0,1,16.0,1211.0,0,0
522,0,0,732.0,648.0,0,0,19.0,1380.0,0,0
526,1,1,596.0,574.0,1,1,8.0,1170.0,1,1
527,0,1,614.0,607.0,1,0,4.0,1221.0,0,0
529,1,0,599.0,582.0,0,1,4.0,1181.0,0,0
531,1,1,575.0,561.0,1,1,0.0,1136.0,1,1
533,0,1,573.0,587.0,0,0,17.0,1160.0,0,0
535,0,1,569.0,559.0,1,0,18.0,1128.0,0,0
537,0,0,669.0,648.0,0,0,6.0,1317.0,0,0
538,1,1,557.0,568.0,0,1,23.0,1125.0,0,0
539,0,0,614.0,632.0,0,1,2.0,1246.0,0,0
541,1,0,608.0,536.0,1,0,15.0,1144.0,0,1
542,0,0,618.0,577.0,1,0,9.0,1195.0,0,0
544,0,1,591.0,584.0,0,0,20.0,1175.0,0,0
546,1,0,627.0,639.0,0,0,22.0,1266.0,0,0
548,0,0,530.0,568.0,1,0,33.0,1098.0,0,0
549,1,0,566.0,607.0,0,1,10.0,1173.0,0,0
550,0,1,557.0,559.0,1,0,10.0,1116.0,0,0
553,1,0,550.0,565.0,0,0,12.0,1115.0,0,0
554,1,0,566.0,554.0,0,1,11.0,1120.0,0,0
557,0,1,591.0,563.0,1,0,14.0,1154.0,0,0
558,0,0,566.0,593.0,0,1,7.0,1159.0,0,0
560,0,1,618.0,570.0,0,0,12.0,1188.0,0,0
563,1,0,552.0,611.0,0,1,24.0,1163.0,0,0
564,1,1,566.0,541.0,0,1,4.0,1107.0,0,0
565,0,0,659.0,699.0,1,0,10.0,1358.0,0,0
566,0,0,560.0,545.0,0,1,17.0,1105.0,0,0
569,1,1,532.0,577.0,0,1,1.0,1109.0,0,0
571,1,1,520.0,570.0,0,1,1.0,1090.0,0,0
573,0,1,544.0,494.0,1,0,14.0,1038.0,0,0
575,0,1,559.0,607.0,0,1,27.0,1166.0,0,0
576,0,1,650.0,632.0,0,0,22.0,1282.0,0,0
579,0,1,627.0,559.0,1,0,4.0,1186.0,0,0
581,1,1,538.0,563.0,0,1,0.0,1101.0,0,0
582,1,1,511.0,495.0,0,1,16.0,1006.0,0,0
583,0,1,650.0,577.0,1,0,11.0,1227.0,0,0
584,0,1,591.0,639.0,0,1,2.0,1230.0,0,0
585,0,1,622.0,648.0,0,1,16.0,1270.0,0,0
586,0,0,596.0,550.0,1,0,14.0,1146.0,0,0
589,1,1,579.0,584.0,0,0,22.0,1163.0,0,0
590,1,1,544.0,620.0,0,1,1.0,1164.0,0,0
592,0,0,575.0,568.0,1,0,1.0,1143.0,0,0
593,0,1,627.0,565.0,0,0,9.0,1192.0,0,0
594,0,0,650.0,599.0,0,0,20.0,1249.0,0,0
597,1,0,535.0,525.0,1,1,8.0,1060.0,1,1
598,0,0,643.0,599.0,0,0,4.0,1242.0,0,0
599,1,1,559.0,526.0,1,0,3.0,1085.0,0,1
600,0,0,586.0,570.0,0,0,15.0,1156.0,0,0
602,0,1,591.0,587.0,0,1,15.0,1178.0,0,0
605,0,0,659.0,611.0,0,0,2.0,1270.0,0,0
606,0,1,588.0,565.0,0,0,23.0,1153.0,0,0
610,0,0,659.0,648.0,0,1,25.0,1307.0,0,0
611,1,1,564.0,565.0,0,1,9.0,1129.0,0,0
614,1,1,588.0,596.0,0,1,10.0,1184.0,0,0
615,0,0,538.0,522.0,0,0,13.0,1060.0,0,0
617,0,0,591.0,626.0,1,0,11.0,1217.0,0,0
618,0,0,599.0,620.0,1,1,20.0,1219.0,1,0
624,0,0,622.0,615.0,0,1,13.0,1237.0,0,0
626,1,0,538.0,497.0,0,1,2.0,1035.0,0,0
629,1,0,564.0,561.0,0,0,2.0,1125.0,0,0
631,0,1,523.0,546.0,1,1,11.0,1069.0,1,0
634,0,1,573.0,550.0,0,0,15.0,1123.0,0,0
636,0,0,566.0,574.0,1,0,14.0,1140.0,0,0
638,0,0,582.0,632.0,1,0,0.0,1214.0,0,0
639,0,1,538.0,565.0,1,0,0.0,1103.0,0,0
640,0,1,584.0,587.0,0,0,11.0,1171.0,0,0
641,1,0,555.0,559.0,0,1,30.0,1114.0,0,0
644,0,1,584.0,577.0,0,1,13.0,1161.0,0,0
645,0,0,577.0,545.0,1,0,15.0,1122.0,0,0
650,0,0,650.0,596.0,0,0,7.0,1246.0,0,0
651,0,1,564.0,587.0,0,0,2.0,1151.0,0,0
652,0,0,684.0,721.0,0,0,4.0,1405.0,0,0
654,0,0,599.0,620.0,1,1,20.0,1219.0,1,0
656,0,0,650.0,659.0,0,1,12.0,1309.0,0,0
658,1,0,568.0,522.0,1,1,33.0,1090.0,1,1
659,1,0,559.0,550.0,0,1,12.0,1109.0,0,0
661,1,1,545.0,522.0,0,1,13.0,1067.0,0,0
662,0,1,575.0,557.0,1,0,17.0,1132.0,0,0
663,1,0,555.0,596.0,0,1,4.0,1151.0,0,0
665,0,1,579.0,574.0,0,0,22.0,1153.0,0,0
669,0,1,669.0,639.0,1,0,6.0,1308.0,0,0
670,0,0,523.0,507.0,1,1,18.0,1030.0,1,0
671,1,1,631.0,552.0,1,1,16.0,1183.0,1,1
675,0,1,555.0,596.0,1,0,9.0,1151.0,0,0
678,0,1,582.0,535.0,0,0,8.0,1117.0,0,0
679,1,1,584.0,525.0,0,0,11.0,1109.0,0,0
680,0,0,591.0,587.0,0,0,12.0,1178.0,0,0
681,0,1,650.0,593.0,0,0,8.0,1243.0,0,0
682,0,1,622.0,545.0,1,1,11.0,1167.0,1,0
684,0,1,564.0,559.0,1,0,14.0,1123.0,0,0
685,0,1,608.0,572.0,0,0,20.0,1180.0,0,0
687,0,1,618.0,620.0,0,0,5.0,1238.0,0,0
689,0,0,527.0,533.0,0,0,12.0,1060.0,0,0
690,1,0,539.0,565.0,0,1,25.0,1104.0,0,0
691,1,0,559.0,543.0,1,1,10.0,1102.0,1,1
692,0,1,627.0,596.0,1,0,6.0,1223.0,0,0
694,0,1,709.0,674.0,0,0,10.0,1383.0,0,0
695,0,1,582.0,572.0,1,0,9.0,1154.0,0,0
696,1,1,514.0,517.0,0,1,10.0,1031.0,0,0
697,1,0,514.0,495.0,0,1,7.0,1009.0,0,0
700,1,1,611.0,565.0,0,1,3.0,1176.0,0,0
701,1,0,631.0,584.0,0,1,15.0,1215.0,0,0
703,1,1,532.0,517.0,0,0,4.0,1049.0,0,0
707,0,0,669.0,563.0,1,0,18.0,1232.0,0,0
708,1,0,523.0,520.0,0,1,9.0,1043.0,0,0
711,0,1,659.0,721.0,0,0,9.0,1380.0,0,0
714,1,1,571.0,570.0,1,1,7.0,1141.0,1,1
716,0,0,559.0,556.0,0,1,6.0,1115.0,0,0
717,0,1,637.0,590.0,0,1,11.0,1227.0,0,0
718,1,1,544.0,528.0,1,1,14.0,1072.0,1,1
719,0,1,643.0,632.0,1,1,5.0,1275.0,1,0
721,0,1,524.0,550.0,0,0,2.0,1074.0,0,0
722,1,1,518.0,568.0,0,1,31.0,1086.0,0,0
723,1,1,542.0,507.0,0,0,18.0,1049.0,0,0
726,1,0,535.0,546.0,0,1,25.0,1081.0,0,0
728,0,1,643.0,587.0,0,0,15.0,1230.0,0,0
730,0,1,593.0,611.0,0,0,18.0,1204.0,0,0
732,1,0,564.0,572.0,0,1,30.0,1136.0,0,0
733,0,1,470.0,510.0,1,1,11.0,980.0,1,0
734,0,1,549.0,504.0,0,1,1.0,1053.0,0,0
735,1,1,552.0,554.0,1,1,14.0,1106.0,1,1
736,0,1,611.0,607.0,1,1,11.0,1218.0,1,0
738,1,1,517.0,559.0,0,1,4.0,1076.0,0,0
739,0,0,637.0,632.0,0,1,8.0,1269.0,0,0
741,1,0,622.0,615.0,0,0,28.0,1237.0,0,0
743,1,0,577.0,587.0,1,1,28.0,1164.0,1,1
745,1,0,622.0,593.0,0,0,16.0,1215.0,0,0
746,0,1,575.0,557.0,0,0,8.0,1132.0,0,0
747,0,1,557.0,535.0,0,0,9.0,1092.0,0,0
748,0,1,559.0,572.0,0,0,0.0,1131.0,0,0
749,0,0,586.0,626.0,0,0,13.0,1212.0,0,0
750,0,0,564.0,574.0,0,0,2.0,1138.0,0,0
751,0,0,669.0,603.0,1,0,20.0,1272.0,0,0
754,0,0,650.0,639.0,0,0,6.0,1289.0,0,0
759,1,1,512.0,556.0,0,1,1.0,1068.0,0,0
760,0,0,588.0,577.0,0,1,3.0,1165.0,0,0
762,0,0,577.0,565.0,0,0,11.0,1142.0,0,0
763,1,1,557.0,626.0,0,1,1.0,1183.0,0,0
766,0,0,614.0,599.0,0,0,12.0,1213.0,0,0
768,1,1,573.0,572.0,0,1,15.0,1145.0,0,0
770,1,1,535.0,570.0,1,1,13.0,1105.0,1,1
773,0,0,602.0,550.0,0,1,20.0,1152.0,0,0
774,0,1,631.0,639.0,0,0,15.0,1270.0,0,0
776,1,0,588.0,590.0,1,1,2.0,1178.0,1,1
777,1,0,577.0,582.0,0,1,3.0,1159.0,0,0
780,1,1,554.0,541.0,0,1,9.0,1095.0,0,0
783,1,1,554.0,568.0,0,0,1.0,1122.0,0,0
785,0,0,584.0,572.0,0,0,12.0,1156.0,0,0
786,1,1,562.0,572.0,1,1,10.0,1134.0,1,1
787,0,1,627.0,632.0,1,0,15.0,1259.0,0,0
788,0,1,604.0,584.0,1,0,6.0,1188.0,0,0
791,0,1,536.0,615.0,1,0,1.0,1151.0,0,0
792,1,0,575.0,620.0,0,0,8.0,1195.0,0,0
795,0,1,586.0,632.0,0,1,11.0,1218.0,0,0
798,0,1,582.0,574.0,0,0,19.0,1156.0,0,0
799,1,0,508.0,528.0,1,0,7.0,1036.0,0,1
809,1,0,577.0,557.0,1,1,9.0,1134.0,1,1
813,1,1,569.0,570.0,0,1,14.0,1139.0,0,0
815,0,1,622.0,699.0,1,1,14.0,1321.0,1,0
816,1,0,627.0,577.0,1,1,33.0,1204.0,1,1
818,1,1,588.0,554.0,0,1,3.0,1142.0,0,0
819,0,1,573.0,596.0,1,0,27.0,1169.0,0,0
822,0,0,591.0,556.0,0,0,2.0,1147.0,0,0
823,0,0,535.0,557.0,0,1,31.0,1092.0,0,0
825,0,1,588.0,632.0,0,1,8.0,1220.0,0,0
831,1,1,591.0,533.0,1,1,2.0,1124.0,1,1
833,0,0,593.0,565.0,1,0,11.0,1158.0,0,0
835,0,1,562.0,593.0,0,0,15.0,1155.0,0,0
836,1,1,492.0,510.0,0,1,17.0,1002.0,0,0
837,0,1,650.0,607.0,0,0,8.0,1257.0,0,0
838,1,0,554.0,561.0,0,1,0.0,1115.0,0,0
840,0,0,611.0,607.0,0,0,17.0,1218.0,0,0
841,0,0,586.0,570.0,1,0,0.0,1156.0,0,0
842,0,0,611.0,632.0,1,0,35.0,1243.0,0,0
843,0,1,618.0,620.0,0,0,4.0,1238.0,0,0
844,1,1,568.0,593.0,1,1,4.0,1161.0,1,1
845,0,1,618.0,648.0,0,0,19.0,1266.0,0,0
846,0,1,526.0,546.0,0,0,8.0,1072.0,0,0
